date,open,high,low,close,volume
2020-03-04,149.37,150.79,149.37,150.0,2746588
2020-03-05,150.55,150.55,147.28,148.18,4679081
2020-03-06,148.04,148.72,144.09,147.13,3023203
2020-03-09,147.14,151.6,147.14,150.43,727782
2020-03-10,150.54,154.36,150.23,151.64,2561779
2020-03-11,150.81,156.53,150.81,154.81,1153202
2020-03-12,154.38,155.91,150.37,153.9,3943330
2020-03-13,154.17,154.17,149.11,150.39,3538951
2020-03-16,150.8,150.8,145.75,148.84,3816960
2020-03-17,149.33,149.33,146.28,146.68,2028290
2020-03-18,146.12,146.89,141.99,144.47,4291860
2020-03-19,143.74,145.85,143.61,144.53,3160053
2020-03-20,144.64,147.93,142.95,145.93,4910351
2020-03-23,146.41,148.4,143.02,145.41,1865511
2020-03-24,145.75,146.6,143.04,144.74,2204449
2020-03-25,145.78,149.06,144.78,147.04,4575928
2020-03-26,146.66,147.23,144.7,146.06,2510554
2020-03-27,145.36,146.46,143.7,145.01,3352675
2020-03-30,144.84,145.04,141.22,143.3,1133149
2020-03-31,142.51,142.51,137.74,139.78,3638671
2020-04-01,140.85,146.36,140.85,143.43,739728
2020-04-02,143.93,143.93,140.79,141.82,4546502
2020-04-03,141.81,144.3,140.98,142.21,2478867
2020-04-06,142.74,143.38,139.44,141.66,4138595
2020-04-07,141.38,141.9,137.72,139.36,4114099
2020-04-08,138.13,140.11,138.13,139.46,1861196
2020-04-09,140.21,143.71,140.21,142.64,1965631
2020-04-10,142.6,147.07,142.6,145.37,2444215
2020-04-13,145.73,149.71,145.52,148.56,1345710
2020-04-14,148.74,152.21,147.95,149.36,1098922
2020-04-15,149.93,151.08,147.21,148.24,3611338
2020-04-16,149.11,150.2,148.48,149.44,2419514
2020-04-17,150.41,157.52,150.41,155.09,1684999
2020-04-20,155.22,155.24,153.49,154.18,1171331
2020-04-21,154.23,160.25,154.23,158.58,1376788
2020-04-22,157.82,158.6,155.85,157.5,4137900
2020-04-23,156.3,156.98,155.03,155.8,2648856
2020-04-24,154.95,156.31,154.68,155.69,938661
2020-04-27,155.37,156.02,154.77,155.28,2638904
2020-04-28,155.13,155.13,151.26,153.18,3993954
2020-04-29,152.97,158.11,152.97,157.25,2613820
2020-04-30,156.67,163.86,156.67,161.36,2194709
2020-05-01,162.17,163.84,158.98,161.04,1275998
2020-05-04,159.82,159.82,155.7,157.39,2445643
2020-05-05,157.96,162.73,157.96,162.11,805666
2020-05-06,163.29,163.29,156.99,158.13,2687541
2020-05-07,157.85,157.85,152.24,154.46,2917015
2020-05-08,154.59,156.96,154.31,155.66,3760886
2020-05-11,156.45,156.45,151.22,152.95,1475282
2020-05-12,153.55,153.55,149.92,151.35,4716186
2020-05-13,151.19,156.54,150.44,153.68,3922640
2020-05-14,153.36,155.65,151.68,153.85,1705854
2020-05-15,153.08,154.84,149.96,152.03,667421
2020-05-18,152.79,153.51,150.21,151.76,1258185
2020-05-19,152.19,152.19,146.32,147.64,1757677
2020-05-20,147.2,147.2,143.95,145.21,2134993
2020-05-21,145.56,149.79,145.41,148.3,3023859
2020-05-22,148.07,153.95,148.07,152.71,2823782
2020-05-25,152.8,155.9,152.8,155.29,2397938
2020-05-26,154.72,159.53,154.72,157.85,1088638
2020-05-27,157.48,159.25,154.62,156.89,1293668
2020-05-28,156.61,156.61,152.81,153.83,3045952
2020-05-29,153.25,158.92,153.25,157.23,4715853
2020-06-01,157.46,157.46,155.23,156.24,785998
2020-06-02,155.2,161.07,155.2,158.5,4890922
2020-06-03,157.46,160.03,157.46,159.44,3684199
2020-06-04,159.13,162.88,159.13,160.92,2250745
2020-06-05,161.7,164.17,161.01,162.41,1585133
2020-06-08,162.79,164.4,162.49,163.47,1309732
2020-06-09,163.5,165.68,159.8,163.14,3280712
2020-06-10,164.17,164.34,160.94,162.4,3209843
2020-06-11,162.7,164.9,162.7,164.13,3292612
2020-06-12,163.98,165.9,161.52,163.71,1723104
2020-06-15,164.89,165.57,162.12,163.91,4730386
2020-06-16,164.27,167.49,163.55,164.78,3212026
2020-06-17,165.84,168.84,163.69,166.74,2951696
2020-06-18,167.0,167.0,160.81,161.7,4088703
2020-06-19,161.22,162.97,159.93,161.28,1335951
2020-06-22,160.51,163.18,160.51,162.27,4633511
2020-06-23,162.15,168.87,162.15,166.04,3708753
2020-06-24,166.09,169.49,166.09,168.28,4975292
2020-06-25,169.11,169.11,164.9,166.31,1264937
2020-06-26,167.12,171.76,167.12,169.27,3288909
2020-06-29,170.09,177.52,170.09,174.81,3968143
2020-06-30,174.7,177.12,174.24,175.45,1936041
2020-07-01,175.55,176.88,173.34,175.36,2166392
2020-07-02,175.29,177.05,173.62,175.05,3004412
2020-07-03,175.9,178.08,174.8,176.13,2121647
2020-07-06,175.51,175.51,173.06,173.54,4938536
2020-07-07,172.4,177.36,172.4,175.6,1426329
2020-07-08,174.95,181.61,174.95,180.81,1690158
2020-07-09,180.49,182.38,179.39,181.09,1867687
2020-07-10,180.85,180.85,174.47,177.18,1383501
2020-07-13,178.74,179.25,177.38,178.28,4120647
2020-07-14,178.08,182.57,176.86,179.48,1951535
2020-07-15,179.26,181.35,178.67,179.63,4991849
2020-07-16,179.47,187.78,179.47,186.1,4887564
2020-07-17,186.52,189.47,185.33,187.29,2686596
2020-07-20,187.89,189.42,185.83,187.86,3612104
2020-07-21,187.42,190.13,187.14,188.33,3309195
2020-07-22,188.55,197.4,188.55,194.69,2302946
2020-07-23,194.6,194.6,189.74,191.64,4583745
2020-07-24,191.81,193.96,190.1,192.29,2238979
2020-07-27,192.72,194.93,186.58,190.8,4585995
2020-07-28,190.82,192.35,190.48,191.34,3061802
2020-07-29,191.59,196.43,191.59,194.79,4420415
2020-07-30,195.12,199.75,193.52,196.91,3063386
2020-07-31,196.18,205.01,196.18,202.97,1305287
2020-08-03,202.8,205.94,202.8,204.13,2028432
