date,open,high,low,close,volume
2020-03-04,1201.67,1213.63,1190.69,1200.0,821923
2020-03-05,1209.01,1242.87,1209.01,1225.97,1895777
2020-03-06,1229.99,1229.99,1168.32,1194.23,2584808
2020-03-09,1187.53,1187.53,1147.75,1156.22,2216503
2020-03-10,1154.57,1154.57,1124.62,1131.64,2793385
2020-03-11,1136.13,1147.97,1116.38,1130.09,3492775
2020-03-12,1133.77,1133.77,1081.31,1092.4,4639581
2020-03-13,1093.0,1108.86,1088.31,1101.86,4563716
2020-03-16,1100.74,1180.37,1100.74,1160.06,4655412
2020-03-17,1156.07,1156.07,1127.35,1142.06,2610810
2020-03-18,1133.01,1146.77,1114.02,1122.19,4260273
2020-03-19,1121.52,1121.52,1095.71,1106.48,2920481
2020-03-20,1103.5,1124.63,1099.45,1112.65,3563339
2020-03-23,1113.18,1122.58,1106.74,1117.59,3970762
2020-03-24,1114.99,1120.34,1107.71,1114.96,2281564
2020-03-25,1112.24,1117.3,1097.05,1102.99,2910113
2020-03-26,1106.33,1113.99,1102.43,1108.76,1060708
2020-03-27,1110.59,1164.1,1110.59,1150.2,4584684
2020-03-30,1140.11,1140.11,1117.12,1129.68,2101226
2020-03-31,1126.3,1176.82,1126.3,1165.28,3861159
2020-04-01,1170.44,1217.41,1170.44,1200.24,2785408
2020-04-02,1201.91,1201.91,1152.02,1169.26,1727259
2020-04-03,1177.26,1177.26,1126.13,1135.61,3571125
2020-04-06,1137.86,1179.55,1137.86,1165.52,3918630
2020-04-07,1175.27,1175.27,1132.17,1154.91,4766990
2020-04-08,1154.12,1157.29,1147.17,1151.12,2368780
2020-04-09,1155.76,1173.68,1155.76,1166.79,2037619
2020-04-10,1176.9,1203.31,1176.9,1195.96,3324471
2020-04-13,1187.99,1214.46,1187.99,1201.43,2833755
2020-04-14,1196.12,1268.88,1196.12,1254.31,2589001
2020-04-15,1255.35,1297.34,1255.35,1289.98,732478
2020-04-16,1296.13,1342.61,1296.13,1334.06,657563
2020-04-17,1329.97,1361.41,1329.97,1348.85,2054488
2020-04-20,1346.83,1375.9,1346.83,1368.03,4901405
2020-04-21,1362.91,1405.64,1362.91,1386.64,2436119
2020-04-22,1385.7,1403.19,1381.18,1388.73,2501308
2020-04-23,1398.85,1398.85,1343.68,1368.87,1672152
2020-04-24,1375.44,1418.49,1373.23,1389.78,1736662
2020-04-27,1389.0,1413.36,1374.67,1394.63,1811017
2020-04-28,1391.33,1446.06,1391.33,1433.15,3186813
2020-04-29,1433.55,1433.55,1371.77,1393.75,1395988
2020-04-30,1383.41,1415.68,1383.41,1401.52,4885968
2020-05-01,1404.16,1434.44,1404.16,1418.53,4798701
2020-05-04,1433.18,1433.18,1374.7,1388.31,2300269
2020-05-05,1386.56,1401.46,1371.5,1385.77,3213685
2020-05-06,1388.27,1388.27,1325.26,1343.25,2243657
2020-05-07,1347.83,1347.83,1293.98,1310.15,1392933
2020-05-08,1313.26,1322.62,1310.76,1316.79,1083205
2020-05-11,1320.44,1320.44,1270.03,1289.84,566918
2020-05-12,1284.83,1300.81,1284.83,1297.44,2635145
2020-05-13,1301.64,1328.39,1286.96,1304.23,1218698
2020-05-14,1298.91,1315.41,1291.75,1303.58,2064372
2020-05-15,1306.63,1318.41,1290.8,1306.89,4942546
2020-05-18,1302.86,1302.86,1261.03,1273.61,4088643
2020-05-19,1285.46,1286.04,1255.11,1269.86,3361178
2020-05-20,1261.78,1279.42,1249.82,1270.32,1148265
2020-05-21,1271.04,1328.52,1271.04,1304.56,3208716
2020-05-22,1304.5,1310.52,1277.91,1292.09,2666121
2020-05-25,1286.95,1313.07,1286.95,1303.89,2398947
2020-05-26,1300.75,1329.54,1293.77,1318.77,1921273
2020-05-27,1315.77,1333.72,1290.59,1304.81,2142645
2020-05-28,1299.14,1358.47,1299.14,1339.86,4169870
2020-05-29,1349.81,1386.42,1342.51,1364.88,1635132
2020-06-01,1365.31,1367.01,1348.12,1362.19,3049204
2020-06-02,1359.78,1384.02,1339.62,1355.17,3585015
2020-06-03,1356.98,1385.38,1356.46,1371.05,1907110
2020-06-04,1369.05,1429.2,1369.05,1404.1,2945149
2020-06-05,1403.49,1422.29,1397.1,1404.77,1927916
2020-06-08,1409.11,1448.97,1397.68,1431.09,1288585
2020-06-09,1435.56,1455.32,1421.67,1444.71,2787944
2020-06-10,1447.76,1468.19,1431.4,1450.42,686280
2020-06-11,1452.55,1452.55,1400.87,1424.48,2044023
2020-06-12,1422.54,1440.53,1422.54,1432.07,2362081
2020-06-15,1431.04,1431.04,1400.92,1414.54,4333462
2020-06-16,1418.97,1425.54,1405.89,1419.23,2654122
2020-06-17,1413.83,1413.83,1391.64,1404.39,4470242
2020-06-18,1407.19,1407.19,1366.36,1389.75,3525372
2020-06-19,1394.31,1394.31,1350.79,1357.91,4979915
2020-06-22,1361.35,1361.35,1301.76,1322.67,1435192
2020-06-23,1315.78,1338.61,1308.72,1325.93,3899921
2020-06-24,1327.68,1333.72,1300.93,1322.32,2908085
2020-06-25,1323.39,1323.39,1281.13,1303.82,1745554
2020-06-26,1305.26,1319.52,1289.6,1299.37,1722349
2020-06-29,1297.52,1297.52,1270.04,1281.88,4137460
2020-06-30,1285.56,1304.94,1268.51,1288.55,1428500
2020-07-01,1284.24,1291.23,1258.85,1274.26,4815980
2020-07-02,1271.83,1316.01,1271.83,1300.13,2643454
2020-07-03,1309.92,1309.92,1281.02,1295.8,3433533
2020-07-06,1299.01,1299.01,1272.46,1284.75,1817544
2020-07-07,1284.57,1331.18,1284.57,1324.89,3925370
2020-07-08,1325.46,1337.1,1325.46,1331.28,3547297
2020-07-09,1330.37,1345.95,1306.24,1334.49,1234735
2020-07-10,1322.95,1363.08,1322.95,1356.85,4719514
2020-07-13,1355.29,1360.26,1327.65,1344.53,3965266
2020-07-14,1337.75,1339.18,1278.18,1307.25,2024056
2020-07-15,1318.39,1318.39,1275.03,1281.35,3993035
2020-07-16,1284.02,1306.57,1280.04,1292.2,1951618
2020-07-17,1299.5,1325.07,1294.28,1316.01,1883807
2020-07-20,1320.52,1339.5,1304.47,1324.87,3403436
2020-07-21,1329.5,1329.5,1290.22,1307.13,2308679
2020-07-22,1299.32,1299.32,1261.33,1272.5,3619456
2020-07-23,1271.03,1301.03,1271.03,1288.93,2554599
2020-07-24,1287.36,1349.11,1287.36,1323.73,1551244
2020-07-27,1319.98,1347.66,1307.71,1331.58,4620589
2020-07-28,1325.43,1354.48,1325.43,1339.85,2688566
2020-07-29,1343.42,1343.42,1276.2,1288.26,4771863
2020-07-30,1283.97,1302.45,1274.28,1293.01,958514
2020-07-31,1299.3,1312.21,1269.36,1288.99,519303
2020-08-03,1282.69,1302.32,1269.27,1287.95,1241137
2020-08-04,1289.88,1289.88,1257.04,1264.25,3070760
2020-08-05,1265.32,1265.32,1232.28,1245.62,2168099
2020-08-06,1247.25,1247.25,1189.32,1199.75,4847146
2020-08-07,1201.31,1211.02,1181.82,1199.99,3416991
2020-08-10,1215.59,1216.69,1195.99,1208.9,4316209
2020-08-11,1206.23,1243.28,1206.23,1235.25,1545718
2020-08-12,1235.94,1235.94,1185.07,1198.02,2513827
2020-08-13,1196.88,1238.5,1196.88,1233.45,4669846
2020-08-14,1233.86,1252.79,1231.64,1246.33,3620196
2020-08-17,1239.52,1277.85,1239.52,1259.35,821501
2020-08-18,1268.05,1268.05,1243.47,1252.19,2041992
2020-08-19,1249.49,1280.4,1249.49,1264.78,3082754
2020-08-20,1263.14,1312.04,1263.14,1294.76,2063507
2020-08-21,1299.11,1307.61,1282.59,1292.65,974386
2020-08-24,1297.23,1322.14,1287.87,1311.49,1208503
2020-08-25,1313.33,1322.7,1304.9,1313.71,4025444
2020-08-26,1316.22,1336.43,1316.22,1327.27,3142912
2020-08-27,1317.26,1358.71,1311.81,1339.57,4536495
2020-08-28,1337.37,1374.01,1337.37,1354.89,574469
2020-08-31,1358.16,1423.16,1358.16,1394.16,1704777
2020-09-01,1388.22,1423.3,1388.22,1412.14,1184904
2020-09-02,1415.03,1429.29,1400.63,1417.32,1450651
2020-09-03,1411.91,1491.35,1411.91,1478.6,3207209
2020-09-04,1475.2,1511.14,1475.2,1503.6,1371908
2020-09-07,1496.14,1512.69,1473.05,1494.73,3815525
2020-09-08,1499.08,1519.35,1487.78,1506.78,1443481
2020-09-09,1506.44,1566.47,1506.44,1555.24,3519367
2020-09-10,1560.19,1581.08,1560.19,1574.21,4401584
2020-09-11,1578.21,1614.34,1578.21,1600.0,2662838
2020-09-14,1606.34,1606.34,1547.7,1556.31,1919978
2020-09-15,1561.14,1590.25,1557.73,1579.04,4133024
2020-09-16,1582.48,1582.48,1552.3,1566.29,3343085
2020-09-17,1562.17,1595.88,1558.47,1574.8,3443054
2020-09-18,1580.81,1613.01,1580.81,1599.72,2621463
2020-09-21,1601.28,1636.77,1596.9,1614.81,800871
2020-09-22,1615.97,1650.0,1611.25,1628.52,1704048
2020-09-23,1622.75,1651.25,1607.01,1620.88,2619106
2020-09-24,1619.99,1646.43,1600.74,1625.0,2914273
2020-09-25,1620.63,1620.63,1543.93,1556.66,1084532
2020-09-28,1558.87,1599.9,1549.16,1578.36,3520500
2020-09-29,1577.96,1582.32,1558.9,1570.32,4312164
2020-09-30,1578.14,1607.36,1578.14,1596.56,1154630
2020-10-01,1597.66,1605.24,1583.48,1591.03,4890068
2020-10-02,1592.59,1672.83,1592.59,1659.27,4647553
