date,open,high,low,close,volume
2020-03-04,100.01,100.92,98.89,100.0,4533685
2020-03-05,100.23,105.35,100.23,103.57,2807713
2020-03-06,103.64,108.71,103.64,106.74,3790180
2020-03-09,106.6,107.24,103.93,106.25,1787701
2020-03-10,106.69,106.69,103.0,104.87,2258714
2020-03-11,104.76,105.2,101.47,103.31,789318
2020-03-12,103.53,103.53,100.14,100.59,2088951
2020-03-13,100.44,102.81,100.44,101.78,4585799
2020-03-16,101.74,101.74,97.4,98.58,4493808
2020-03-17,99.27,99.27,97.72,98.41,2461989
2020-03-18,98.66,98.66,97.25,97.69,937325
2020-03-19,98.15,99.24,97.72,98.45,2668909
2020-03-20,98.95,100.39,98.95,99.75,1164885
2020-03-23,100.23,100.93,99.65,100.08,4965610
2020-03-24,99.67,100.18,97.08,98.42,2792292
2020-03-25,98.46,100.02,98.46,99.41,4803444
2020-03-26,99.35,102.43,99.35,100.97,4250881
2020-03-27,100.91,100.91,98.44,99.57,818983
2020-03-30,99.86,101.06,96.61,98.84,2054016
2020-03-31,99.61,103.5,99.29,101.42,812926
2020-04-01,101.94,103.06,100.87,101.93,3736634
2020-04-02,101.34,102.66,98.6,100.68,2832134
2020-04-03,100.76,101.06,98.45,100.1,1728906
2020-04-06,100.55,101.54,98.55,99.55,4948682
2020-04-07,99.7,100.97,98.77,99.9,4297702
2020-04-08,99.83,101.17,99.75,100.8,1196692
2020-04-09,101.07,101.07,98.38,99.18,3683320
2020-04-10,99.65,99.65,95.05,96.86,502468
2020-04-13,96.96,96.96,95.45,96.22,1363177
2020-04-14,96.33,99.05,96.18,97.56,3150519
2020-04-15,97.3,98.69,97.3,98.36,3072781
2020-04-16,99.25,99.25,96.57,97.6,2146605
2020-04-17,97.6,98.79,96.55,97.71,3723639
2020-04-20,97.32,99.32,97.18,98.25,3500097
2020-04-21,98.33,99.95,97.34,99.02,2694259
2020-04-22,99.37,99.91,97.2,98.42,2600796
2020-04-23,98.49,101.72,98.49,100.42,4854305
2020-04-24,100.78,103.91,100.78,102.72,1624369
2020-04-27,103.07,103.92,101.36,102.98,4313079
2020-04-28,102.48,102.53,100.75,101.28,1685112
2020-04-29,101.74,101.74,98.78,99.39,4032027
2020-04-30,98.67,98.67,95.85,96.68,664716
2020-05-01,96.27,98.25,95.64,97.6,3067017
2020-05-04,97.48,102.14,97.48,100.57,1097438
2020-05-05,100.58,101.95,99.8,101.36,3700073
2020-05-06,100.95,100.95,98.36,99.59,4797712
2020-05-07,99.66,101.3,98.4,99.65,1618717
2020-05-08,99.84,99.84,96.27,97.24,2791303
2020-05-11,96.96,96.96,92.82,94.64,1345770
2020-05-12,94.87,96.31,94.87,95.86,1189952
2020-05-13,95.62,95.62,90.54,92.45,1981140
2020-05-14,92.56,95.66,92.09,93.85,4862755
2020-05-15,94.27,96.09,94.24,95.2,3253928
2020-05-18,94.54,97.11,94.54,96.35,2059577
2020-05-19,96.2,96.2,94.77,95.26,1232460
2020-05-20,94.96,95.65,94.22,94.7,3692466
2020-05-21,94.43,95.9,93.32,95.14,2371555
2020-05-22,95.54,96.02,93.11,94.92,1199523
2020-05-25,94.7,96.54,93.28,94.69,547114
2020-05-26,94.95,95.65,93.58,94.96,3265458
2020-05-27,95.01,95.02,93.65,94.32,3863446
2020-05-28,95.01,95.01,93.01,93.63,2558532
2020-05-29,93.07,94.08,91.56,92.55,738297
