date,open,high,low,close,volume
2020-03-04,1624.62,1660.04,1604.55,1620.0,4981327
2020-03-05,1619.74,1619.74,1552.05,1572.23,3361436
2020-03-06,1580.74,1619.96,1580.74,1598.76,1445140
2020-03-09,1596.66,1596.66,1557.13,1576.05,1619192
2020-03-10,1574.37,1574.37,1542.46,1556.8,4995159
2020-03-11,1565.43,1565.43,1533.38,1544.77,2385270
2020-03-12,1559.53,1573.61,1522.53,1544.62,3484791
2020-03-13,1549.0,1572.07,1549.0,1563.41,1080984
2020-03-16,1574.85,1574.85,1511.23,1531.0,1287781
2020-03-17,1523.48,1546.6,1518.29,1538.58,4640967
2020-03-18,1531.83,1585.29,1531.83,1566.59,4110198
2020-03-19,1568.0,1568.0,1546.89,1557.57,2625016
2020-03-20,1559.8,1559.8,1510.86,1528.8,1578028
2020-03-23,1523.39,1553.03,1523.39,1542.91,3147444
2020-03-24,1536.91,1536.91,1500.4,1508.85,3060285
2020-03-25,1506.33,1506.33,1485.93,1494.06,4538050
2020-03-26,1507.03,1524.89,1500.99,1511.02,4692183
2020-03-27,1514.12,1523.56,1489.6,1509.62,1292513
2020-03-30,1516.57,1516.57,1489.45,1499.8,2635607
2020-03-31,1503.41,1516.31,1501.72,1511.13,3984335
2020-04-01,1505.18,1522.56,1505.02,1513.51,3648593
2020-04-02,1523.16,1557.17,1494.42,1522.8,2038815
2020-04-03,1522.1,1522.1,1491.24,1508.85,3623665
2020-04-06,1508.16,1530.02,1489.9,1506.28,4466993
2020-04-07,1504.17,1538.07,1495.15,1515.83,3665434
2020-04-08,1516.75,1564.08,1516.75,1553.16,3458368
2020-04-09,1554.06,1615.18,1554.06,1589.51,2146210
2020-04-10,1591.89,1658.28,1591.89,1645.64,1921803
2020-04-13,1653.71,1673.08,1653.71,1664.91,1131757
2020-04-14,1658.99,1659.14,1639.71,1650.6,3250045
2020-04-15,1646.38,1660.53,1615.79,1646.14,4489101
2020-04-16,1643.87,1709.19,1643.87,1689.93,1551909
2020-04-17,1683.72,1706.88,1674.06,1694.94,1527321
2020-04-20,1679.45,1679.45,1638.68,1656.0,2597328
2020-04-21,1660.45,1713.65,1660.45,1689.38,1830492
2020-04-22,1705.07,1751.31,1705.07,1725.87,3126949
2020-04-23,1718.1,1760.94,1718.1,1740.51,1629747
2020-04-24,1748.89,1753.78,1703.64,1720.07,2901599
2020-04-27,1723.52,1723.52,1674.34,1687.59,2158104
2020-04-28,1668.48,1668.48,1643.02,1654.72,845877
2020-04-29,1656.15,1670.49,1648.47,1657.17,4906494
2020-04-30,1657.6,1661.53,1612.93,1643.6,1682444
2020-05-01,1647.67,1660.97,1639.64,1649.77,4894979
2020-05-04,1644.58,1694.14,1644.58,1666.34,2381097
2020-05-05,1661.52,1706.17,1661.52,1684.52,2972876
2020-05-06,1672.86,1698.73,1672.86,1684.76,1492000
2020-05-07,1678.97,1705.52,1655.7,1681.06,4856947
2020-05-08,1680.3,1734.97,1680.3,1708.87,4772778
2020-05-11,1718.63,1760.74,1718.63,1749.62,2181162
2020-05-12,1750.41,1750.41,1715.08,1723.01,4407092
2020-05-13,1727.11,1728.6,1709.68,1718.0,3267445
2020-05-14,1722.18,1732.0,1685.24,1709.05,2768882
2020-05-15,1707.03,1711.06,1691.66,1702.09,591568
2020-05-18,1694.02,1701.14,1669.12,1682.98,1325330
2020-05-19,1679.33,1699.05,1679.33,1691.3,2628863
2020-05-20,1694.77,1714.03,1655.72,1687.43,755251
2020-05-21,1687.48,1687.48,1650.63,1663.94,2261409
2020-05-22,1658.7,1658.7,1632.2,1638.55,683457
2020-05-25,1643.18,1643.18,1588.66,1601.15,2192160
2020-05-26,1588.1,1588.1,1541.53,1566.2,4377259
2020-05-27,1571.85,1583.65,1541.44,1569.73,2619141
2020-05-28,1566.13,1566.13,1514.63,1524.58,1656397
2020-05-29,1526.56,1527.73,1479.42,1506.11,2410824
2020-06-01,1499.6,1502.37,1487.5,1492.51,641475
2020-06-02,1489.59,1513.12,1459.17,1495.14,3294200
2020-06-03,1505.44,1551.82,1503.67,1525.42,4590805
2020-06-04,1519.74,1528.8,1498.94,1516.03,4649302
2020-06-05,1516.04,1534.75,1516.04,1527.8,4554256
2020-06-08,1528.56,1549.52,1528.56,1542.64,2796831
2020-06-09,1551.66,1551.66,1528.96,1536.74,4546715
2020-06-10,1532.46,1548.83,1526.32,1537.56,2193364
2020-06-11,1540.4,1562.67,1529.59,1539.97,3859051
2020-06-12,1535.28,1570.69,1531.85,1549.75,4559615
2020-06-15,1545.61,1572.2,1539.43,1556.58,3425396
2020-06-16,1543.47,1571.25,1543.47,1562.37,4208043
2020-06-17,1562.45,1614.17,1550.83,1586.09,3173633
2020-06-18,1595.88,1595.88,1539.92,1556.78,4066830
2020-06-19,1558.98,1558.98,1515.0,1539.61,2576836
2020-06-22,1544.43,1566.68,1514.37,1540.5,4949983
2020-06-23,1545.5,1589.43,1545.14,1566.29,1668205
2020-06-24,1570.81,1570.81,1527.95,1544.5,1527230
2020-06-25,1547.66,1548.33,1502.9,1528.03,4784778
2020-06-26,1527.19,1544.75,1527.19,1535.56,4715704
2020-06-29,1537.52,1544.73,1527.93,1539.04,1941170
2020-06-30,1543.19,1563.03,1530.47,1539.58,4684359
2020-07-01,1544.1,1558.54,1502.06,1529.88,3479505
2020-07-02,1538.56,1538.56,1491.37,1507.43,2491027
2020-07-03,1509.2,1511.13,1483.32,1503.69,4105011
2020-07-06,1507.33,1552.38,1507.33,1527.13,1908916
2020-07-07,1535.34,1550.09,1518.96,1537.57,1776296
2020-07-08,1538.59,1571.65,1538.59,1566.47,1879682
2020-07-09,1562.43,1563.38,1541.54,1553.24,2848386
2020-07-10,1554.01,1554.01,1517.94,1527.53,559382
2020-07-13,1514.07,1544.46,1505.13,1523.83,3340236
2020-07-14,1521.62,1550.1,1489.13,1521.1,3392763
2020-07-15,1522.93,1584.46,1522.93,1553.84,4666592
2020-07-16,1537.9,1579.63,1528.97,1555.95,1227275
2020-07-17,1557.7,1611.56,1557.7,1586.19,3892939
2020-07-20,1579.59,1591.15,1572.41,1585.98,4157802
2020-07-21,1584.41,1655.11,1584.41,1627.34,4112714
2020-07-22,1627.1,1627.1,1608.16,1618.15,1571211
2020-07-23,1603.68,1619.47,1581.59,1594.24,3395906
2020-07-24,1589.51,1624.38,1589.12,1605.65,2587071
2020-07-27,1600.17,1627.43,1598.17,1611.07,3764528
2020-07-28,1608.49,1625.8,1586.02,1610.04,544507
2020-07-29,1610.54,1644.68,1599.32,1619.03,4380018
2020-07-30,1605.05,1666.34,1605.05,1656.38,1570063
2020-07-31,1649.32,1694.09,1635.26,1666.76,2129177
2020-08-03,1654.31,1695.33,1634.07,1665.59,898102
2020-08-04,1664.58,1664.58,1590.0,1618.08,3431115
2020-08-05,1616.68,1622.32,1593.61,1602.29,3427699
2020-08-06,1604.53,1612.37,1561.75,1596.65,2350123
2020-08-07,1599.07,1599.07,1553.25,1558.24,1163891
2020-08-10,1552.72,1574.14,1540.74,1559.88,854483
2020-08-11,1556.1,1596.31,1548.48,1580.02,3474001
2020-08-12,1571.49,1597.48,1562.66,1580.16,4788814
2020-08-13,1576.48,1577.36,1548.23,1565.77,1243140
2020-08-14,1570.12,1570.12,1520.1,1544.01,1919815
2020-08-17,1538.45,1587.56,1538.45,1581.25,4369490
2020-08-18,1580.27,1610.37,1580.27,1602.22,3202319
2020-08-19,1588.81,1610.11,1564.57,1588.64,1337900
2020-08-20,1597.32,1597.32,1530.9,1560.05,3677247
2020-08-21,1554.21,1557.22,1510.09,1531.8,1531264
2020-08-24,1533.82,1567.01,1520.87,1544.88,1716823
2020-08-25,1542.41,1559.62,1532.81,1546.3,3756817
2020-08-26,1538.04,1552.73,1521.97,1532.15,843349
2020-08-27,1537.29,1597.83,1537.29,1566.67,2519547
2020-08-28,1566.05,1592.31,1566.05,1585.81,4905814
2020-08-31,1589.36,1589.36,1545.45,1570.94,3988585
2020-09-01,1568.21,1583.01,1563.88,1572.93,2615781
2020-09-02,1577.04,1591.33,1547.03,1570.16,4988633
2020-09-03,1573.72,1573.72,1526.33,1549.76,4722214
2020-09-04,1547.55,1569.77,1520.53,1545.48,4786739
2020-09-07,1543.71,1556.49,1526.48,1541.59,2235170
2020-09-08,1544.55,1562.11,1512.79,1534.26,3205326
2020-09-09,1530.31,1554.35,1501.88,1537.31,1247979
2020-09-10,1547.03,1565.76,1543.93,1553.05,4423827
2020-09-11,1552.98,1553.91,1527.71,1542.91,2155992
2020-09-14,1545.55,1549.84,1519.25,1533.91,2508220
2020-09-15,1530.97,1530.97,1502.38,1513.45,690725
2020-09-16,1517.36,1544.6,1506.77,1527.41,4182485
2020-09-17,1531.94,1531.94,1471.48,1488.36,2169398
2020-09-18,1488.22,1488.22,1436.17,1454.86,1489167
2020-09-21,1455.37,1461.83,1442.1,1453.89,2855562
2020-09-22,1454.36,1472.86,1431.42,1458.78,3854184
