date,open,high,low,close,volume
2020-03-04,2381.53,2438.92,2364.35,2400.0,873813
2020-03-05,2404.72,2451.17,2385.66,2413.47,4517846
2020-03-06,2400.55,2476.09,2400.07,2451.06,2539618
2020-03-09,2458.05,2460.34,2401.65,2443.78,2492713
2020-03-10,2435.15,2502.28,2431.87,2450.42,3697632
2020-03-11,2446.09,2461.83,2395.88,2423.66,3979287
2020-03-12,2423.48,2487.17,2414.34,2448.27,3370412
2020-03-13,2442.53,2467.31,2409.0,2440.19,1000202
2020-03-16,2451.11,2406.64,2371.62,2395.2,3513987
2020-03-17,2393.5,2434.35,2378.59,2398.01,2979117
2020-03-18,2394.37,2421.54,2378.57,2402.12,4807922
2020-03-19,2406.05,2435.22,2385.22,2412.36,773184
2020-03-20,2399.16,2404.08,2366.99,2389.96,3653457
2020-03-23,2385.06,2466.41,2356.36,2414.92,4992406
2020-03-24,2417.13,2467.81,2405.69,2439.55,2519912
2020-03-25,2435.95,2409.73,2385.22,2395.63,4918169
2020-03-26,2400.78,2450.32,2360.9,2414.42,4087657
2020-03-27,2415.95,2462.04,2404.4,2438.88,4652753
2020-03-30,2425.52,2479.89,2435.79,2459.77,4959505
2020-03-31,2447.25,2489.78,2454.22,2471.91,4385116
2020-04-01,2468.76,2446.96,2405.05,2426.07,3628732
2020-04-02,2435.03,2457.48,2423.42,2437.86,4660956
2020-04-03,2453.2,2433.63,2389.98,2407.25,2380071
2020-04-06,2400.66,2429.25,2397.88,2416.0,3903429
2020-04-07,2412.41,2433.88,2399.82,2410.35,2284035
2020-04-08,2420.91,2430.98,2403.53,2414.8,4018912
2020-04-09,2413.6,2475.21,2399.37,2443.77,4711269
2020-04-10,2452.24,2470.22,2437.0,2453.11,2863097
2020-04-13,2448.39,2491.5,2424.06,2453.88,1163729
2020-04-14,2460.22,2467.02,2418.92,2446.56,2195047
2020-04-15,2456.49,2474.88,2411.0,2442.16,3502304
2020-04-16,2445.71,2512.51,2477.61,2492.42,4797947
2020-04-17,2477.7,2566.01,2486.95,2512.93,3113406
2020-04-20,2521.27,2543.26,2493.72,2525.0,3165386
2020-04-21,2530.27,2567.56,2499.35,2533.05,1592067
2020-04-22,2529.89,2505.5,2462.89,2489.11,4214090
2020-04-23,2505.65,2537.03,2478.56,2508.01,4164056
