date,open,high,low,close,volume
2020-03-04,982.25,988.66,964.81,980.0,2469111
2020-03-05,980.7,980.7,936.92,944.05,1612690
2020-03-06,947.2,958.82,943.61,948.28,4573083
2020-03-09,950.03,950.03,904.79,916.02,850298
2020-03-10,916.17,924.18,899.15,908.75,2147361
2020-03-11,907.42,907.42,856.0,863.93,2123768
2020-03-12,864.38,864.38,834.33,842.76,2899070
2020-03-13,839.98,839.98,823.41,829.56,1548893
2020-03-16,833.47,863.58,833.47,846.92,3670980
2020-03-17,852.09,852.09,819.64,828.08,4167536
2020-03-18,830.15,840.72,818.52,829.85,3948410
2020-03-19,832.37,832.37,804.14,818.4,4875806
2020-03-20,816.4,850.59,816.4,842.53,3891257
2020-03-23,842.28,858.36,842.28,850.82,1606197
2020-03-24,851.68,851.68,824.14,830.85,1109496
2020-03-25,830.43,834.66,808.75,827.37,4501095
2020-03-26,822.26,837.35,812.77,825.62,4809630
2020-03-27,825.79,833.35,824.37,827.86,1069282
2020-03-30,829.36,829.36,812.17,815.14,1746728
2020-03-31,817.49,835.62,810.75,824.19,3106485
2020-04-01,825.0,840.45,822.26,830.52,669214
2020-04-02,827.97,840.15,824.55,828.79,4319526
2020-04-03,833.77,844.27,829.14,836.37,1355317
2020-04-06,835.99,835.99,797.86,807.64,1944911
2020-04-07,804.97,818.34,804.97,812.82,1782097
2020-04-08,812.51,812.51,792.91,801.37,599798
2020-04-09,798.9,805.19,786.89,793.87,4744007
2020-04-10,791.75,791.75,768.64,777.67,4657281
2020-04-13,777.68,802.95,777.68,799.08,2747361
2020-04-14,799.47,807.45,788.95,795.47,3087093
2020-04-15,795.64,795.64,769.8,778.92,756628
2020-04-16,784.46,784.46,769.47,776.13,3301432
2020-04-17,774.5,814.05,774.5,808.58,802112
2020-04-20,813.86,813.86,788.92,794.91,1811710
2020-04-21,792.11,792.11,765.5,772.19,2071334
2020-04-22,771.4,775.78,764.52,769.73,3941583
2020-04-23,770.83,799.73,770.83,788.43,1703142
2020-04-24,793.04,793.04,769.39,776.82,3819103
2020-04-27,779.29,794.28,770.39,780.46,1980724
2020-04-28,781.29,793.36,781.29,787.95,3607375
2020-04-29,791.23,791.23,761.51,771.18,1780819
2020-04-30,775.19,803.27,775.19,797.5,3724578
2020-05-01,797.37,806.3,783.87,796.99,1407161
2020-05-04,801.51,825.71,801.51,816.75,3308829
2020-05-05,819.66,831.5,813.47,819.39,3079899
2020-05-06,819.68,819.68,809.76,813.72,1697474
2020-05-07,811.16,848.68,811.16,839.46,2547553
2020-05-08,839.62,857.22,832.68,843.79,4906766
2020-05-11,838.8,850.31,823.49,835.41,3625684
2020-05-12,842.03,859.1,842.03,852.25,2377973
2020-05-13,843.81,847.84,840.77,844.2,1480527
2020-05-14,842.86,863.56,842.86,855.53,2879710
2020-05-15,854.87,854.87,832.36,837.84,2590928
2020-05-18,832.0,856.58,832.0,848.76,4309385
2020-05-19,844.44,884.18,844.44,864.24,673914
2020-05-20,866.21,866.21,848.75,860.3,1734422
2020-05-21,858.24,869.41,846.43,861.83,3601948
2020-05-22,863.48,878.86,860.34,866.17,2167059
2020-05-25,861.81,885.75,861.75,870.57,4056659
2020-05-26,870.09,891.32,870.09,884.96,573655
2020-05-27,888.47,888.47,866.23,874.8,3246147
2020-05-28,876.41,894.87,867.46,880.4,1128871
2020-05-29,878.53,898.24,878.53,894.12,1477295
2020-06-01,898.0,911.76,884.8,896.58,1741363
2020-06-02,897.8,926.1,897.8,910.09,4177885
2020-06-03,909.28,915.21,880.44,897.94,534260
2020-06-04,900.45,928.94,900.45,910.83,3145780
2020-06-05,919.09,919.09,865.21,871.88,2624620
2020-06-08,874.94,891.47,872.0,877.27,3486440
2020-06-09,877.91,905.22,877.91,894.0,4254106
2020-06-10,889.39,908.78,889.39,897.82,3875668
2020-06-11,897.39,904.71,892.73,898.49,1755829
2020-06-12,899.8,949.37,899.8,936.63,2201432
2020-06-15,932.21,935.29,923.8,929.7,804456
2020-06-16,929.29,959.96,929.29,939.26,4352946
2020-06-17,940.7,954.1,938.61,947.25,795185
2020-06-18,952.56,960.72,928.94,939.31,3021427
2020-06-19,939.12,939.12,915.05,919.67,2256508
2020-06-22,910.87,919.24,896.92,905.9,1209843
2020-06-23,905.93,927.69,900.37,921.08,504988
2020-06-24,918.94,922.26,909.44,915.34,4250800
2020-06-25,919.4,920.37,892.74,905.15,4734462
2020-06-26,899.91,904.52,885.12,894.55,4389940
2020-06-29,899.69,930.08,899.69,924.81,3540648
2020-06-30,914.94,939.03,914.94,934.48,794995
2020-07-01,931.11,975.65,931.11,963.64,964624
2020-07-02,964.58,964.58,933.21,940.26,4816132
2020-07-03,939.35,978.1,939.35,962.73,2230704
2020-07-06,965.19,989.14,965.19,982.56,2740570
2020-07-07,993.59,997.81,982.06,987.85,4663628
2020-07-08,986.03,1008.02,972.68,989.24,3418739
2020-07-09,988.27,995.93,973.69,986.35,2297513
2020-07-10,987.15,987.15,950.13,961.96,1262795
2020-07-13,962.21,962.21,917.14,924.55,1219971
2020-07-14,929.63,929.63,888.71,898.72,4413835
2020-07-15,897.67,897.67,876.9,883.32,4148605
2020-07-16,879.57,908.46,879.57,899.14,4526863
2020-07-17,894.08,917.65,894.08,907.63,3560091
2020-07-20,907.22,907.22,878.76,892.01,4617271
2020-07-21,890.91,890.91,859.9,864.01,2538925
2020-07-22,862.39,882.19,862.39,877.44,2913886
2020-07-23,879.93,879.93,854.14,866.8,3383265
2020-07-24,865.69,891.76,865.69,888.0,1401698
2020-07-27,889.87,907.84,889.87,899.44,3503904
2020-07-28,895.25,929.68,895.25,922.68,2204119
2020-07-29,925.24,935.56,916.48,929.12,4165771
2020-07-30,926.35,931.06,909.38,916.84,3919063
2020-07-31,918.51,918.51,895.06,909.2,1040701
2020-08-03,911.88,911.88,855.39,863.84,4776850
2020-08-04,864.11,868.38,850.72,858.51,2860273
2020-08-05,851.32,866.61,848.48,856.99,1896920
2020-08-06,855.66,855.66,823.36,826.57,1612782
2020-08-07,822.51,831.32,809.38,822.77,3388712
2020-08-10,821.8,821.9,807.86,816.31,1241850
2020-08-11,813.9,819.78,803.5,811.8,4334291
2020-08-12,809.33,809.33,800.48,804.26,1823618
2020-08-13,798.61,807.25,785.4,794.92,4940620
2020-08-14,792.86,818.51,787.77,801.46,3682098
2020-08-17,809.3,809.83,788.36,798.84,1735316
2020-08-18,798.68,810.42,798.68,803.09,4958346
2020-08-19,805.8,805.8,786.95,793.08,4276098
2020-08-20,789.16,792.55,771.93,780.69,2285783
2020-08-21,780.16,780.16,752.6,764.79,2307409
2020-08-24,764.11,779.43,761.06,774.26,2664825
2020-08-25,771.13,794.67,771.13,779.98,3258924
2020-08-26,779.85,779.85,771.06,773.65,1245128
2020-08-27,770.44,770.44,748.89,756.39,4048898
2020-08-28,758.35,758.35,733.98,744.7,2382622
2020-08-31,745.62,755.77,745.59,750.8,2760850
