date,open,high,low,close,volume
2020-03-04,1448.11,1474.86,1429.63,1450.0,2794269
2020-03-05,1445.93,1445.93,1414.83,1430.01,2172139
2020-03-06,1432.08,1450.07,1412.6,1430.93,3718031
2020-03-09,1430.52,1444.13,1411.19,1427.4,679705
2020-03-10,1435.92,1435.92,1392.3,1405.03,3970777
2020-03-11,1405.05,1419.91,1393.47,1400.94,2555272
2020-03-12,1400.59,1421.69,1384.09,1402.91,4403945
2020-03-13,1407.7,1407.7,1381.0,1391.27,2004309
2020-03-16,1387.52,1427.81,1387.52,1412.57,815044
2020-03-17,1421.47,1421.47,1387.66,1404.43,1558341
2020-03-18,1406.42,1426.87,1385.93,1407.74,4748817
2020-03-19,1410.09,1410.09,1394.13,1402.9,2695537
2020-03-20,1396.05,1439.99,1396.05,1422.11,4124404
2020-03-23,1423.31,1476.28,1419.43,1450.88,2780596
2020-03-24,1449.22,1452.31,1417.34,1431.47,1602841
2020-03-25,1424.19,1446.52,1424.19,1436.56,3943369
2020-03-26,1439.49,1446.44,1428.18,1433.79,2767583
2020-03-27,1430.09,1453.33,1423.22,1438.01,677743
2020-03-30,1441.05,1493.24,1440.39,1465.63,1304052
2020-03-31,1463.29,1513.0,1445.44,1481.12,2156337
2020-04-01,1486.14,1507.57,1470.84,1487.8,2899771
2020-04-02,1494.48,1499.64,1467.31,1487.54,3268631
2020-04-03,1495.93,1500.58,1467.2,1487.8,2272488
2020-04-06,1494.99,1494.99,1474.85,1483.98,4123644
2020-04-07,1475.49,1500.18,1471.32,1488.13,3109955
2020-04-08,1485.49,1498.58,1479.91,1491.56,1979099
2020-04-09,1492.4,1550.73,1492.4,1540.78,2859838
2020-04-10,1531.44,1541.23,1505.0,1527.53,2797193
2020-04-13,1516.55,1550.14,1516.55,1540.11,2004231
2020-04-14,1542.69,1598.78,1542.69,1580.17,2864380
2020-04-15,1578.01,1578.01,1551.13,1556.12,2993387
2020-04-16,1562.19,1580.32,1528.65,1555.99,840991
2020-04-17,1563.13,1593.48,1557.64,1581.65,2968573
2020-04-20,1576.11,1607.98,1576.11,1595.59,2226866
2020-04-21,1597.26,1661.24,1597.26,1635.51,3574870
2020-04-22,1643.59,1643.59,1575.46,1595.99,4074045
2020-04-23,1590.04,1616.4,1590.03,1608.42,3225204
2020-04-24,1602.06,1627.66,1588.9,1609.43,1607911
2020-04-27,1618.57,1632.05,1569.66,1597.13,3271749
2020-04-28,1602.73,1638.36,1602.73,1624.09,3678872
2020-04-29,1618.17,1664.59,1618.17,1655.55,3027346
2020-04-30,1656.28,1691.06,1645.25,1667.16,1283033
2020-05-01,1665.65,1666.65,1650.06,1656.32,1086450
2020-05-04,1662.72,1678.27,1656.27,1667.62,2414781
2020-05-05,1668.96,1668.96,1641.94,1655.14,4813122
2020-05-06,1660.11,1660.11,1621.47,1636.62,1311077
2020-05-07,1627.7,1685.92,1627.7,1667.19,1898604
2020-05-08,1671.5,1715.99,1660.17,1685.83,1058858
2020-05-11,1680.63,1727.22,1680.63,1711.25,3084889
2020-05-12,1713.69,1713.69,1684.75,1701.2,3822808
2020-05-13,1714.07,1716.09,1689.61,1706.5,735400
2020-05-14,1710.25,1753.83,1710.25,1732.88,2425744
2020-05-15,1754.34,1761.34,1721.1,1743.75,924951
2020-05-18,1754.66,1754.66,1702.97,1713.32,2044840
2020-05-19,1707.96,1719.04,1704.72,1713.52,2283938
2020-05-20,1705.89,1747.52,1705.89,1739.75,779827
2020-05-21,1736.43,1766.21,1709.77,1751.44,3940447
2020-05-22,1755.09,1810.19,1755.09,1793.8,3109237
2020-05-25,1786.55,1810.32,1765.89,1788.5,1939878
2020-05-26,1797.03,1797.03,1762.96,1770.71,2140415
2020-05-27,1764.72,1824.97,1764.72,1808.73,4683337
2020-05-28,1813.33,1813.33,1770.46,1781.45,727368
