date,open,high,low,close,volume
2020-03-04,450.49,452.48,447.23,450.0,1884725
2020-03-05,448.65,452.36,443.45,448.4,3182328
2020-03-06,446.54,456.93,449.91,455.09,1615994
2020-03-09,455.72,456.07,449.1,452.43,2817268
2020-03-10,451.19,463.8,447.7,456.33,1768939
2020-03-11,454.77,460.82,449.64,454.52,4557371
2020-03-12,456.46,468.85,461.47,464.02,3913179
2020-03-13,463.86,479.35,465.9,470.78,4269241
2020-03-16,470.34,474.49,462.57,467.69,2702132
2020-03-17,471.22,484.6,478.36,481.55,2325802
2020-03-18,482.15,482.67,470.29,477.13,2528029
2020-03-19,478.81,476.3,468.95,472.23,985534
2020-03-20,472.71,472.69,466.85,468.6,3783603
2020-03-23,472.7,483.41,473.54,479.05,537516
2020-03-24,479.14,468.89,463.9,467.05,2183105
2020-03-25,467.76,469.21,463.89,466.27,4798628
2020-03-26,466.7,470.32,459.33,465.15,4919485
2020-03-27,466.05,473.63,461.51,464.74,1384053
2020-03-30,465.2,467.63,457.32,463.59,1833005
2020-03-31,460.72,450.73,441.07,445.66,1958277
2020-04-01,445.38,457.03,446.45,452.47,972354
2020-04-02,451.64,462.45,452.1,456.42,3312727
2020-04-03,453.75,458.24,451.2,455.48,3981816
2020-04-06,452.88,452.95,436.95,443.23,944206
2020-04-07,443.66,456.57,445.61,451.16,2655667
2020-04-08,451.58,454.1,446.18,450.25,747792
2020-04-09,450.68,453.19,447.29,450.72,2403242
2020-04-10,449.48,465.9,448.19,456.77,2796766
2020-04-13,456.13,456.5,448.68,452.61,3174087
2020-04-14,453.64,451.25,438.23,446.33,3539868
2020-04-15,444.32,462.47,446.87,457.49,3513022
2020-04-16,455.92,463.2,451.76,456.82,4357694
2020-04-17,458.04,454.59,438.95,444.78,2871655
2020-04-20,444.8,454.87,445.06,448.2,3348001
2020-04-21,448.79,457.95,447.55,453.99,3570406
2020-04-22,451.21,461.8,450.23,456.27,1271861
2020-04-23,457.1,460.54,454.81,457.98,3602470
2020-04-24,459.64,458.68,450.78,455.27,3363353
2020-04-27,451.24,467.09,462.65,465.35,1156502
2020-04-28,464.79,479.89,473.8,476.5,2193045
2020-04-29,475.85,483.09,468.18,474.59,2813416
2020-04-30,476.69,481.41,467.71,474.86,1289787
2020-05-01,476.32,476.34,464.71,468.47,884427
2020-05-04,470.29,481.06,462.49,473.67,3998747
2020-05-05,474.25,477.01,466.9,472.75,3144997
2020-05-06,472.69,467.68,460.55,464.83,4594505
2020-05-07,464.48,463.01,454.23,457.36,1710684
2020-05-08,456.89,465.89,452.71,459.18,3519257
2020-05-11,457.57,463.42,446.75,456.2,852227
