date,open,high,low,close,volume
2020-03-04,302.39,302.59,296.14,300.0,3612610
2020-03-05,300.21,304.31,296.02,299.52,1478442
2020-03-06,299.08,299.08,293.69,294.92,2904605
2020-03-09,294.43,297.57,293.86,296.03,4824291
2020-03-10,298.33,298.33,288.33,291.07,2429441
2020-03-11,290.09,299.43,290.09,297.48,2708898
2020-03-12,296.98,296.98,287.38,291.89,4714750
2020-03-13,291.79,295.2,288.78,291.9,3464376
2020-03-16,292.44,296.88,285.55,291.97,2741386
2020-03-17,292.48,292.57,289.27,291.65,4355204
2020-03-18,290.3,298.9,290.3,296.71,3302939
2020-03-19,297.83,300.08,293.9,298.27,4475827
2020-03-20,300.03,300.56,296.68,298.42,4894168
2020-03-23,296.97,302.23,296.97,299.88,2273248
2020-03-24,298.89,298.89,288.68,291.78,4314503
2020-03-25,290.1,294.67,288.86,292.68,1098969
2020-03-26,292.59,297.03,290.2,293.0,4852501
2020-03-27,295.44,296.05,293.7,295.07,1288877
2020-03-30,294.46,301.73,294.46,298.96,1509070
2020-03-31,298.13,298.35,294.44,295.87,4718361
2020-04-01,295.36,304.52,295.36,299.79,1594265
2020-04-02,300.17,300.17,293.38,296.29,3188536
2020-04-03,295.18,296.02,293.49,294.64,1845693
2020-04-06,296.58,301.8,294.85,299.8,3056719
2020-04-07,297.31,305.03,297.31,301.35,3860415
2020-04-08,302.18,307.34,302.18,305.45,2921763
2020-04-09,305.09,309.62,303.35,306.02,754207
2020-04-10,306.43,316.11,306.43,314.55,659500
2020-04-13,315.75,317.98,311.76,314.0,3876581
2020-04-14,313.16,323.11,313.16,319.44,978498
2020-04-15,319.09,320.31,311.78,316.87,1758740
2020-04-16,317.46,328.91,317.46,324.91,562348
2020-04-17,324.61,326.45,321.95,324.91,1771123
2020-04-20,324.99,326.75,318.36,323.52,4839942
2020-04-21,322.5,334.4,320.41,326.86,3636911
2020-04-22,327.34,327.34,321.37,323.45,4201720
2020-04-23,324.25,332.03,324.08,326.91,3165681
2020-04-24,326.94,332.96,326.94,330.79,4024792
2020-04-27,329.64,336.6,325.64,331.95,523062
2020-04-28,331.1,331.1,326.68,328.19,3098152
2020-04-29,326.6,334.05,326.6,331.75,625849
2020-04-30,332.98,337.34,330.34,332.7,4214958
2020-05-01,332.46,334.47,329.9,331.15,2050924
2020-05-04,331.61,336.49,329.14,333.3,1288262
2020-05-05,331.88,338.5,331.88,335.62,1822060
2020-05-06,333.97,344.62,333.97,342.43,4649484
2020-05-07,339.45,349.67,339.45,344.74,772077
2020-05-08,342.95,348.81,340.68,346.22,4535573
2020-05-11,345.13,347.23,341.25,344.07,2132461
2020-05-12,343.56,349.49,343.11,344.97,3830550
2020-05-13,345.27,352.79,345.27,351.34,2729590
2020-05-14,353.79,353.79,347.98,349.59,568241
2020-05-15,350.29,357.44,348.55,353.14,2164395
2020-05-18,353.46,356.6,351.71,353.73,3011770
2020-05-19,351.17,362.12,349.93,355.76,631028
2020-05-20,357.06,357.06,343.34,347.13,889568
2020-05-21,346.84,348.89,344.77,346.79,1020532
2020-05-22,349.56,349.56,343.52,345.41,2529914
2020-05-25,345.9,353.41,345.09,349.56,2905588
2020-05-26,351.7,351.7,345.42,349.66,2694557
2020-05-27,349.65,351.1,348.38,349.78,3732597
2020-05-28,350.1,350.1,344.18,345.76,2486540
2020-05-29,347.8,347.8,338.12,341.79,4010846
2020-06-01,341.51,343.52,338.01,341.59,1736438
2020-06-02,343.66,343.66,331.23,334.43,724167
2020-06-03,334.32,347.92,334.32,340.98,2595113
2020-06-04,338.01,349.39,338.01,345.36,3862498
2020-06-05,345.59,357.74,345.59,354.87,4091860
2020-06-08,354.75,354.75,344.65,349.68,2403289
2020-06-09,349.95,356.88,349.95,354.04,1062878
2020-06-10,356.24,356.24,348.5,350.75,4256403
2020-06-11,350.98,352.21,342.31,347.45,4811871
2020-06-12,349.26,355.23,349.26,353.4,575273
2020-06-15,355.29,355.29,347.26,348.64,4894873
2020-06-16,349.4,350.65,346.25,349.0,550927
2020-06-17,347.86,347.86,341.55,344.64,3055293
2020-06-18,346.16,348.25,341.32,346.1,1004644
2020-06-19,348.03,348.03,337.35,339.49,805386
2020-06-22,342.51,342.51,333.72,336.06,3204597
2020-06-23,335.94,340.55,334.13,338.22,3434875
2020-06-24,338.4,338.4,331.4,334.47,1636362
2020-06-25,336.42,336.42,324.56,326.23,1473124
2020-06-26,326.35,330.26,323.26,327.86,2323042
2020-06-29,328.56,328.56,311.76,317.7,1000606
2020-06-30,318.48,318.48,302.93,304.35,1674251
2020-07-01,303.56,311.91,303.56,309.9,1987952
2020-07-02,310.32,310.97,302.51,306.13,2791532
2020-07-03,305.04,305.04,302.99,303.92,2460493
2020-07-06,304.85,307.87,304.85,306.72,1303567
2020-07-07,306.76,311.56,303.05,307.26,4000217
2020-07-08,306.78,315.58,306.78,310.47,4434818
2020-07-09,309.39,314.13,309.39,313.16,872314
2020-07-10,313.83,313.83,304.45,308.12,2242199
2020-07-13,307.64,320.23,307.64,315.06,3424584
2020-07-14,314.01,317.98,313.29,315.28,4502782
2020-07-15,313.76,316.15,311.16,313.81,1470681
2020-07-16,313.83,322.36,313.83,318.23,3185620
2020-07-17,316.7,322.37,315.68,319.49,4574627
2020-07-20,320.3,326.79,316.67,322.17,3594004
2020-07-21,323.02,323.02,310.24,315.05,1323564
2020-07-22,314.85,325.5,314.85,321.1,2057387
2020-07-23,319.92,323.43,319.07,321.11,1377729
2020-07-24,320.07,320.98,309.9,315.65,3250338
2020-07-27,315.08,316.9,308.58,314.34,4817286
2020-07-28,313.07,321.89,310.38,316.59,4086664
2020-07-29,318.04,319.41,315.57,317.91,1535414
2020-07-30,318.05,320.56,307.83,315.14,4717020
2020-07-31,313.31,322.29,311.6,318.03,3880874
2020-08-03,316.91,321.37,311.68,318.28,2693201
2020-08-04,317.06,324.21,315.49,319.26,4158482
2020-08-05,318.9,321.58,311.95,315.51,1997219
2020-08-06,314.43,327.32,314.43,322.61,4034819
2020-08-07,321.18,328.86,317.89,323.3,2835897
2020-08-10,323.49,334.92,323.49,332.54,4986983
2020-08-11,330.28,334.85,328.51,330.95,3990753
2020-08-12,332.12,332.12,326.48,329.52,1718948
2020-08-13,329.21,329.21,309.17,316.5,1344561
2020-08-14,316.31,318.78,312.32,315.97,4119278
2020-08-17,317.6,317.6,307.48,312.12,3773561
2020-08-18,310.53,311.69,308.12,310.56,840069
2020-08-19,309.42,315.18,309.42,312.36,3235019
2020-08-20,312.69,314.54,308.84,312.31,993375
2020-08-21,314.69,314.69,306.47,311.29,3662858
2020-08-24,312.81,312.81,304.62,307.85,1489822
2020-08-25,307.09,320.65,307.09,315.78,4950598
2020-08-26,317.53,322.41,312.81,318.66,2177010
2020-08-27,319.62,334.19,319.62,328.99,1133224
2020-08-28,329.23,329.23,323.48,324.96,3895668
2020-08-31,324.08,324.08,317.89,320.38,4013415
2020-09-01,320.49,320.49,309.26,315.52,3573502
2020-09-02,316.1,319.19,310.52,312.82,2685374
2020-09-03,313.76,315.56,312.6,313.56,2170453
2020-09-04,314.73,314.73,303.76,305.69,3828308
2020-09-07,307.04,316.77,307.04,315.29,586960
2020-09-08,315.23,330.15,315.23,327.77,2779806
2020-09-09,327.02,331.48,323.89,326.51,2348790
2020-09-10,325.04,337.14,325.04,330.84,4089704
2020-09-11,331.36,333.32,325.18,331.11,2607743
2020-09-14,329.72,332.6,325.67,327.73,1264539
2020-09-15,326.63,335.2,326.63,333.68,1801088
2020-09-16,334.7,336.84,332.15,333.54,3560429
2020-09-17,334.13,345.74,334.13,343.81,1833191
2020-09-18,344.77,354.62,343.7,346.65,4899226
2020-09-21,348.82,356.2,348.82,352.69,3627035
2020-09-22,350.73,364.35,350.73,362.53,4426177
2020-09-23,361.34,366.57,361.34,365.49,3703981
2020-09-24,365.6,365.6,348.0,351.96,1098818
2020-09-25,351.21,362.29,351.21,356.55,2217067
2020-09-28,357.2,358.88,345.29,353.11,2514758
2020-09-29,352.36,366.68,352.36,362.39,3548684
2020-09-30,361.51,369.33,361.51,364.29,3005476
2020-10-01,364.95,367.26,360.7,364.57,2149998
2020-10-02,363.88,384.38,363.88,378.86,3727922
2020-10-05,379.05,382.46,376.79,378.82,2144071
2020-10-06,380.35,380.35,370.65,374.27,1309859
2020-10-07,370.68,380.32,367.79,374.15,3591397
2020-10-08,374.63,374.63,367.34,371.41,3872926
