date,open,high,low,close,volume
2020-03-04,2809.22,2813.79,2783.51,2800.0,2636483
2020-03-05,2801.08,2843.8,2774.89,2805.79,4851359
2020-03-06,2804.09,2813.98,2747.55,2791.72,1932643
2020-03-09,2784.82,2819.54,2783.89,2798.76,1507105
2020-03-10,2806.22,2806.22,2681.05,2710.21,3939007
2020-03-11,2697.83,2817.05,2697.83,2793.05,1935269
2020-03-12,2788.72,2891.34,2788.72,2848.32,2367523
2020-03-13,2849.13,2873.07,2840.66,2860.21,4005763
2020-03-16,2862.52,2862.52,2798.09,2815.12,1083612
2020-03-17,2814.09,2814.09,2738.94,2769.65,904999
2020-03-18,2784.28,2835.26,2775.64,2817.8,1153229
2020-03-19,2807.46,2807.46,2752.27,2770.53,2962685
2020-03-20,2787.54,2836.47,2787.54,2806.4,2609181
2020-03-23,2784.01,2829.6,2774.53,2796.04,2425912
2020-03-24,2797.15,2830.32,2765.25,2787.97,2117006
2020-03-25,2779.51,2808.96,2741.63,2783.34,4699893
2020-03-26,2771.77,2771.77,2691.76,2714.05,3695373
2020-03-27,2712.68,2816.89,2712.68,2778.11,1922244
2020-03-30,2780.08,2780.08,2720.93,2745.61,671464
2020-03-31,2748.79,2748.79,2668.21,2706.03,2410450
2020-04-01,2697.93,2697.93,2627.64,2647.69,2447322
2020-04-02,2653.55,2687.57,2645.47,2668.47,4641152
2020-04-03,2668.17,2756.09,2668.17,2717.73,643120
2020-04-06,2732.41,2821.34,2732.41,2800.46,1608345
2020-04-07,2803.91,2803.91,2715.08,2738.15,3878839
2020-04-08,2756.06,2864.31,2756.06,2832.17,4901218
2020-04-09,2813.53,2873.89,2797.38,2844.71,4279242
2020-04-10,2847.65,2847.65,2788.44,2814.88,728557
2020-04-13,2815.59,2815.59,2765.13,2780.69,4611854
2020-04-14,2772.41,2909.04,2772.41,2844.89,2442993
2020-04-15,2855.4,2944.14,2855.4,2914.44,1727695
2020-04-16,2928.46,2956.92,2869.32,2914.14,4138746
2020-04-17,2927.89,3006.93,2927.89,2980.07,3427113
2020-04-20,2987.16,3058.0,2987.16,3037.27,4282031
2020-04-21,3058.51,3094.1,3030.17,3067.6,1474028
2020-04-22,3059.74,3059.74,3017.33,3035.59,1256728
2020-04-23,3016.7,3076.73,3016.7,3063.7,2190561
2020-04-24,3040.97,3123.99,3035.52,3071.78,3036707
2020-04-27,3084.41,3112.04,3036.02,3084.79,4552281
2020-04-28,3104.71,3158.4,3104.71,3134.88,2089178
2020-04-29,3140.47,3140.47,3075.52,3086.41,1237156
2020-04-30,3101.89,3184.13,3101.89,3154.95,4721055
2020-05-01,3152.69,3219.25,3111.36,3158.7,2004191
2020-05-04,3138.42,3191.54,3137.91,3163.62,4431135
2020-05-05,3164.53,3164.53,3115.9,3130.64,1773050
2020-05-06,3111.76,3262.99,3111.76,3222.26,1495782
2020-05-07,3212.77,3233.01,3128.76,3180.32,3318775
2020-05-08,3179.8,3179.8,2999.65,3034.27,573549
2020-05-11,3035.94,3035.94,2977.15,3000.04,4350199
2020-05-12,3003.2,3034.94,2962.41,3004.05,2353414
2020-05-13,2993.08,3051.0,2993.08,3018.86,4966325
2020-05-14,3027.76,3041.61,2979.22,2998.68,4460866
2020-05-15,2995.47,3038.25,2995.47,3022.71,3564151
