date,open,high,low,close,volume
2020-03-04,621.24,628.09,616.6,620.0,3825187
2020-03-05,621.0,621.0,583.33,589.69,753197
2020-03-06,587.85,594.59,576.78,586.16,1012820
2020-03-09,586.0,586.0,568.6,576.46,1031447
2020-03-10,576.07,600.78,576.07,592.23,2033860
2020-03-11,591.18,602.01,587.46,595.85,1008225
2020-03-12,601.6,601.6,586.77,594.29,3073949
2020-03-13,592.7,592.7,579.74,582.72,3534794
2020-03-16,584.61,584.61,559.94,564.51,2731033
2020-03-17,567.1,580.18,567.1,575.45,3298301
2020-03-18,580.56,580.56,554.68,564.66,1754980
2020-03-19,563.98,575.34,563.98,572.85,4656708
2020-03-20,570.99,587.26,570.99,579.98,3477211
2020-03-23,580.35,606.67,580.35,601.17,1445598
2020-03-24,601.74,604.79,598.75,602.89,856630
2020-03-25,605.65,607.29,594.21,599.04,4986127
2020-03-26,599.77,611.7,599.77,606.84,3181290
2020-03-27,606.42,612.78,603.74,609.16,873131
2020-03-30,605.83,616.1,605.83,612.18,2313452
2020-03-31,612.65,622.06,608.75,615.97,870793
2020-04-01,612.41,626.48,612.41,620.73,3299520
2020-04-02,622.55,624.74,618.0,622.38,3746889
2020-04-03,619.39,637.41,619.39,634.24,1311424
2020-04-06,632.11,642.56,632.11,639.3,1946899
2020-04-07,639.85,640.16,631.19,634.11,2334891
2020-04-08,627.37,640.83,627.37,635.89,4743035
2020-04-09,639.58,648.73,639.58,645.73,931280
2020-04-10,648.92,654.95,646.22,649.01,3938484
2020-04-13,651.43,685.45,651.43,674.09,1622522
2020-04-14,676.11,676.11,655.08,660.66,4760563
2020-04-15,660.04,676.1,653.8,666.34,552833
2020-04-16,664.77,664.77,644.13,651.08,2391960
2020-04-17,644.35,686.17,644.35,675.42,2299076
2020-04-20,678.1,678.1,657.63,661.78,629175
2020-04-21,670.42,675.58,662.16,667.47,1930836
2020-04-22,671.84,671.84,638.41,649.42,2209429
2020-04-23,650.32,650.32,636.89,642.02,4010460
2020-04-24,640.96,640.96,619.11,627.13,3537289
2020-04-27,624.3,624.3,597.19,604.34,1826035
2020-04-28,605.77,605.77,588.88,593.44,3240075
2020-04-29,595.34,595.34,582.38,587.91,3823417
2020-04-30,584.64,584.99,572.9,578.9,3307512
2020-05-01,576.28,594.25,576.28,590.57,2558365
2020-05-04,591.65,597.84,588.23,591.11,2216845
2020-05-05,589.95,603.75,589.95,597.96,3837513
2020-05-06,599.37,614.47,599.37,611.51,1561550
2020-05-07,615.18,626.72,613.07,617.02,3218493
2020-05-08,617.34,618.47,602.23,608.36,4591221
2020-05-11,606.03,631.68,606.03,627.96,1049777
2020-05-12,626.9,626.9,605.6,614.26,4742614
2020-05-13,612.09,625.33,606.88,615.72,2405997
2020-05-14,615.95,615.95,586.31,590.07,4521472
2020-05-15,590.8,594.41,571.84,584.19,1106477
2020-05-18,586.56,601.68,586.56,599.2,4148478
2020-05-19,605.66,605.66,584.64,587.01,885339
2020-05-20,584.05,608.21,584.05,603.86,3546361
2020-05-21,602.49,626.36,602.49,616.72,1634303
2020-05-22,616.89,620.33,608.42,616.43,4377827
2020-05-25,616.73,624.58,616.73,621.87,3102750
2020-05-26,621.26,637.63,619.67,629.04,2387391
2020-05-27,632.81,636.7,626.77,631.67,3016876
2020-05-28,629.35,629.35,606.16,615.67,4663439
2020-05-29,620.82,628.03,616.18,623.2,3077864
2020-06-01,623.34,628.8,620.81,624.34,679127
2020-06-02,624.22,655.88,624.22,652.06,3025128
2020-06-03,647.78,647.78,630.6,632.83,1065085
2020-06-04,629.91,635.69,618.32,630.72,919350
2020-06-05,629.97,651.88,629.97,641.94,716755
2020-06-08,642.09,674.57,642.09,661.36,4331476
2020-06-09,661.02,661.03,651.25,656.2,4633954
2020-06-10,658.39,676.43,658.39,669.07,3970140
2020-06-11,665.66,695.58,665.66,688.29,1149911
2020-06-12,687.62,697.0,685.51,691.24,2380488
2020-06-15,693.57,693.57,677.88,685.45,2317696
2020-06-16,688.78,688.78,658.05,669.35,2859995
2020-06-17,664.23,680.7,664.23,677.83,3846122
2020-06-18,679.39,693.81,679.39,688.66,4491491
2020-06-19,689.09,704.01,688.3,696.28,1792119
