date,open,high,low,close,volume
2020-03-04,3620.08,3620.11,3561.81,3600.0,1781668
2020-03-05,3617.02,3617.02,3528.22,3549.99,966674
2020-03-06,3547.85,3595.73,3520.85,3544.59,942438
2020-03-09,3542.69,3573.18,3511.03,3550.66,4057270
2020-03-10,3565.79,3621.01,3509.0,3577.69,1529880
2020-03-11,3569.86,3569.86,3484.2,3510.49,3440689
2020-03-12,3512.18,3583.17,3492.17,3518.7,1930520
2020-03-13,3518.57,3518.57,3443.05,3465.1,2347595
2020-03-16,3460.27,3460.27,3351.88,3414.87,3805812
2020-03-17,3394.2,3417.91,3370.68,3402.54,1881652
2020-03-18,3411.35,3435.26,3366.21,3409.69,3288506
2020-03-19,3403.88,3444.26,3393.13,3423.8,2305431
2020-03-20,3462.59,3560.29,3462.59,3508.79,4531197
2020-03-23,3501.15,3501.15,3442.38,3455.33,4238275
2020-03-24,3451.16,3514.16,3440.04,3486.18,2405277
2020-03-25,3477.0,3499.07,3395.31,3451.43,4452130
2020-03-26,3442.25,3442.25,3343.52,3381.47,1703148
2020-03-27,3384.6,3469.12,3374.79,3410.31,4321674
2020-03-30,3386.64,3495.83,3386.64,3457.08,2079618
2020-03-31,3451.52,3451.52,3345.2,3394.67,4706789
2020-04-01,3385.45,3385.45,3263.26,3307.09,3795189
2020-04-02,3315.39,3316.71,3276.82,3289.38,1795406
2020-04-03,3292.5,3429.32,3292.5,3388.17,1957357
2020-04-06,3391.69,3435.6,3391.69,3422.95,3458443
2020-04-07,3428.59,3428.59,3352.91,3377.51,2156006
2020-04-08,3392.66,3392.66,3249.77,3283.62,3173218
2020-04-09,3278.13,3309.91,3188.84,3234.69,3677479
2020-04-10,3234.79,3245.63,3166.79,3201.63,3146694
2020-04-13,3206.94,3248.75,3195.86,3216.35,3065638
2020-04-14,3211.03,3291.23,3159.87,3223.62,4374135
2020-04-15,3236.3,3255.75,3167.19,3205.16,3436631
2020-04-16,3205.73,3214.52,3161.28,3193.92,4488276
2020-04-17,3196.99,3196.99,3071.47,3133.24,1000167
2020-04-20,3141.27,3141.27,3012.99,3055.69,4894152
2020-04-21,3055.73,3140.73,3055.73,3120.82,4576906
2020-04-22,3080.29,3157.55,3056.34,3102.65,1432433
2020-04-23,3102.0,3154.42,3027.51,3088.06,1629740
2020-04-24,3066.6,3066.6,2950.18,2998.46,2446469
2020-04-27,3012.18,3068.85,3012.18,3051.6,2938946
2020-04-28,3068.86,3170.21,3068.86,3119.85,4217925
2020-04-29,3119.0,3204.07,3119.0,3161.49,2020618
2020-04-30,3152.74,3152.74,3028.05,3088.93,741479
2020-05-01,3108.17,3108.17,3035.24,3066.98,2085259
2020-05-04,3070.19,3135.62,3039.97,3083.86,2258721
2020-05-05,3098.55,3110.39,3045.85,3076.54,3379696
2020-05-06,3051.73,3054.78,3004.48,3034.1,2918578
2020-05-07,3030.79,3081.53,3030.79,3056.68,1765745
2020-05-08,3042.2,3042.2,2953.95,2978.12,3378165
2020-05-11,2965.47,3010.89,2965.47,2982.9,1321146
2020-05-12,2975.83,3027.81,2975.83,3008.26,1484211
2020-05-13,3017.72,3039.07,2979.43,3019.35,4257940
2020-05-14,3021.86,3047.66,2991.7,3021.08,2244367
2020-05-15,3023.6,3023.6,2922.19,2945.62,1089287
2020-05-18,2940.02,2985.87,2940.02,2963.78,3764504
2020-05-19,2963.06,3010.23,2907.75,2959.15,896807
2020-05-20,2953.57,3004.67,2936.93,2963.03,2127525
2020-05-21,2956.87,2991.38,2938.22,2958.96,719559
2020-05-22,2956.42,2993.56,2943.03,2967.76,1616557
2020-05-25,2986.23,2986.23,2927.11,2940.22,4488939
2020-05-26,2943.55,3009.97,2943.55,2991.98,2315963
2020-05-27,2978.47,2994.46,2942.8,2964.18,3262332
2020-05-28,2970.74,2970.74,2919.13,2941.75,1757051
2020-05-29,2940.11,2955.71,2920.73,2947.01,690232
2020-06-01,2943.49,3001.12,2939.42,2979.85,4826382
2020-06-02,2977.27,2985.39,2911.41,2954.86,4387461
2020-06-03,2961.41,2998.72,2933.9,2965.0,4903998
2020-06-04,2982.26,2987.17,2931.38,2962.8,2506660
2020-06-05,2974.99,2974.99,2923.05,2953.33,748942
2020-06-08,2945.47,2982.59,2926.11,2959.41,3565427
2020-06-09,2954.04,2958.06,2925.21,2944.67,3973151
2020-06-10,2960.92,3058.88,2960.92,3048.53,1447399
2020-06-11,3054.79,3090.92,3014.18,3043.03,2244174
2020-06-12,3035.93,3064.37,3035.93,3055.3,4783892
2020-06-15,3056.86,3056.86,2966.97,3009.55,3268869
2020-06-16,2997.8,3093.37,2997.8,3057.33,4118150
2020-06-17,3053.46,3060.62,3002.39,3043.63,1606486
2020-06-18,3034.22,3034.22,2941.48,2969.16,1979690
2020-06-19,2977.66,3022.81,2977.66,3007.16,2795245
2020-06-22,3013.44,3082.78,3013.44,3041.88,3816860
2020-06-23,3036.42,3041.64,2985.29,3004.18,3258463
2020-06-24,3047.46,3080.32,2988.02,3025.8,2611709
2020-06-25,3033.2,3036.4,2975.74,3011.21,965633
2020-06-26,3010.57,3057.23,2971.67,3001.32,2306379
2020-06-29,3014.26,3072.69,3014.26,3054.81,1745243
2020-06-30,3045.37,3045.37,2957.16,2997.48,4699455
2020-07-01,2989.03,3018.47,2940.09,2968.8,2012657
2020-07-02,2973.5,3004.02,2910.28,2951.56,4836626
2020-07-03,2934.66,3055.72,2934.66,3005.71,3918797
2020-07-06,2998.93,3057.66,2991.29,3017.53,2857905
2020-07-07,3021.9,3181.11,3021.9,3124.41,1315897
2020-07-08,3119.04,3119.04,3077.07,3094.15,1700485
2020-07-09,3094.43,3190.41,3094.43,3156.59,1689686
2020-07-10,3179.85,3179.85,3006.56,3063.54,2510851
2020-07-13,3031.81,3076.04,3011.35,3054.41,2444960
2020-07-14,3050.8,3085.2,2988.43,3021.3,634412
2020-07-15,3035.62,3059.7,2991.55,3025.15,4850866
2020-07-16,3037.31,3037.31,2934.53,2958.59,4657905
2020-07-17,2959.51,2959.51,2898.03,2923.71,3625073
2020-07-20,2919.8,2919.8,2798.72,2861.98,3000695
2020-07-21,2858.49,2944.43,2858.49,2912.69,2501271
2020-07-22,2912.69,2912.69,2811.85,2838.28,1646562
2020-07-23,2837.23,2837.23,2723.96,2770.87,3131625
2020-07-24,2758.98,2853.82,2758.98,2820.82,1364416
2020-07-27,2821.06,2892.48,2821.06,2876.18,4333505
2020-07-28,2882.66,2934.27,2874.18,2909.57,2951939
2020-07-29,2904.42,2905.11,2863.76,2888.2,2087376
2020-07-30,2888.78,2888.78,2843.63,2862.91,752552
2020-07-31,2860.86,2860.86,2800.76,2826.46,3552474
2020-08-03,2833.69,2878.96,2767.31,2818.95,1177883
2020-08-04,2820.18,2837.73,2805.79,2827.12,2697130
2020-08-05,2844.6,2844.6,2733.0,2774.75,3207023
2020-08-06,2769.46,2769.46,2724.69,2738.74,2398249
2020-08-07,2745.29,2745.29,2670.65,2680.12,1096958
2020-08-10,2669.94,2696.93,2665.41,2683.36,3963135
2020-08-11,2690.59,2755.0,2663.15,2699.26,4832883
2020-08-12,2695.44,2768.01,2695.44,2755.07,3284995
2020-08-13,2761.05,2761.05,2685.02,2710.37,4008304
2020-08-14,2712.68,2725.29,2700.73,2713.85,2922571
2020-08-17,2704.88,2758.19,2704.88,2737.73,2868762
2020-08-18,2748.31,2777.8,2720.05,2747.66,3164094
2020-08-19,2748.29,2748.29,2713.49,2726.67,3147435
2020-08-20,2721.7,2721.7,2661.3,2704.27,803301
2020-08-21,2719.63,2754.26,2679.78,2722.86,3391183
2020-08-24,2701.99,2803.15,2690.05,2748.62,4441099
2020-08-25,2725.72,2819.43,2725.72,2795.37,1823687
2020-08-26,2807.19,2821.06,2780.95,2801.23,2634225
2020-08-27,2795.98,2795.98,2742.82,2761.34,1308865
2020-08-28,2745.92,2779.96,2709.98,2746.69,2083922
2020-08-31,2738.84,2738.84,2694.0,2720.19,1542544
2020-09-01,2720.33,2751.53,2696.6,2731.78,558298
2020-09-02,2742.08,2810.46,2742.08,2778.15,2541019
2020-09-03,2762.06,2873.89,2762.06,2856.38,3284644
2020-09-04,2848.65,2957.29,2848.65,2915.73,1211579
2020-09-07,2898.27,2974.64,2891.47,2922.61,1488936
2020-09-08,2918.62,3066.82,2918.62,3001.73,2592859
2020-09-09,2997.18,2997.18,2947.77,2960.58,1145749
2020-09-10,2958.13,3042.07,2958.07,2994.27,808113
2020-09-11,3001.07,3024.8,2946.26,2992.2,4733530
2020-09-14,2995.41,3042.64,2994.79,3024.31,3747534
2020-09-15,3017.66,3021.79,2947.56,2982.92,4373729
2020-09-16,2968.36,3030.46,2968.36,3002.77,2350375
2020-09-17,2987.72,3120.18,2987.72,3067.43,3531415
2020-09-18,3055.04,3094.62,3046.81,3069.67,2277396
2020-09-21,3076.99,3089.19,3007.74,3046.34,548959
2020-09-22,3032.53,3122.22,3032.53,3106.31,3484129
2020-09-23,3116.62,3139.67,3102.8,3125.2,1768850
2020-09-24,3115.66,3115.66,3002.91,3028.11,3778143
2020-09-25,3027.85,3027.85,2972.86,2991.73,2027601
2020-09-28,2981.98,3031.8,2960.75,2998.4,624607
2020-09-29,2990.34,3057.88,2990.34,3037.61,3831044
2020-09-30,3018.45,3119.95,3018.45,3079.02,3743313
2020-10-01,3069.79,3069.79,2980.64,3037.63,3345648
2020-10-02,3024.02,3086.22,3024.02,3059.47,3299152
2020-10-05,3073.53,3086.32,2993.62,3039.04,3441713
2020-10-06,3039.76,3092.58,3017.13,3054.55,3887730
2020-10-07,3047.78,3059.66,3013.11,3035.43,2582697
2020-10-08,3021.09,3072.42,3013.15,3044.87,2645120
2020-10-09,3047.25,3067.3,3023.83,3054.17,3131504
2020-10-12,3064.56,3084.11,3008.29,3054.09,4728841
2020-10-13,3069.96,3070.48,3014.76,3039.86,3965176
2020-10-14,3040.68,3126.72,3040.68,3073.99,4280716
2020-10-15,3057.74,3127.38,3051.47,3102.34,1980644
2020-10-16,3107.15,3203.22,3099.8,3152.53,3288856
2020-10-19,3148.74,3204.84,3129.51,3154.31,2086335
2020-10-20,3135.81,3172.32,3126.34,3158.77,1359152
