date,open,high,low,close,volume
2020-03-04,199.02,202.18,197.77,200.0,4865714
2020-03-05,198.96,198.96,188.69,190.46,3129934
2020-03-06,191.89,191.89,186.01,189.11,4865662
2020-03-09,190.36,192.64,189.05,190.63,1101807
2020-03-10,191.45,197.08,191.45,195.81,782900
2020-03-11,196.66,196.66,189.49,192.19,1988083
2020-03-12,192.37,192.37,183.34,185.9,3468391
2020-03-13,185.53,185.53,176.36,177.04,1658827
2020-03-16,177.17,177.17,168.88,170.77,2506912
2020-03-17,172.15,175.13,172.15,174.08,3546314
2020-03-18,172.97,182.75,172.97,179.27,3319279
2020-03-19,178.69,187.54,178.69,186.69,2905400
2020-03-20,186.09,186.09,178.31,181.07,1107701
2020-03-23,180.92,180.92,174.22,175.68,3040525
2020-03-24,174.64,174.64,165.39,167.07,3852363
2020-03-25,167.68,167.68,159.44,161.32,1008120
2020-03-26,161.69,166.07,161.69,164.08,638926
2020-03-27,162.8,173.06,162.8,170.39,4833730
2020-03-30,169.78,173.59,169.78,172.96,3328828
2020-03-31,172.81,172.81,167.63,169.07,1275095
2020-04-01,168.9,168.9,163.43,167.2,2295779
2020-04-02,167.59,171.39,165.16,168.74,1026760
2020-04-03,167.46,168.57,165.1,167.01,1124776
2020-04-06,168.06,170.98,167.94,169.28,1617645
2020-04-07,168.87,172.45,168.36,170.55,4933573
2020-04-08,170.14,177.37,170.14,175.06,588258
2020-04-09,174.33,174.33,169.5,171.42,1746579
2020-04-10,171.32,171.32,169.9,170.46,2347350
2020-04-13,170.86,178.98,170.86,177.24,3535596
2020-04-14,176.28,176.31,171.74,173.88,4558106
2020-04-15,174.73,180.8,174.73,179.34,2485875
2020-04-16,180.18,181.05,178.08,179.44,746583
2020-04-17,178.88,178.88,174.04,175.32,1748648
2020-04-20,174.92,174.92,168.85,170.36,3175893
2020-04-21,171.04,171.04,167.56,169.46,3408734
2020-04-22,169.78,169.78,165.43,166.05,3780585
2020-04-23,166.53,172.9,166.53,171.46,4605121
2020-04-24,170.99,170.99,165.54,166.65,3554087
2020-04-27,167.03,167.03,161.67,163.47,1056314
2020-04-28,163.26,163.26,149.48,152.58,2619513
2020-04-29,151.37,154.35,151.37,152.88,2600503
