date,open,high,low,close,volume
2020-03-04,462.66,466.11,455.43,460.0,2813906
2020-03-05,461.06,462.18,453.34,457.03,4078571
2020-03-06,453.06,469.54,453.06,461.6,2004855
2020-03-09,459.9,483.03,459.9,479.48,2894694
2020-03-10,477.87,484.21,476.18,481.02,2886198
2020-03-11,480.29,486.51,472.39,481.02,2537186
2020-03-12,481.78,486.45,475.5,481.41,3841496
2020-03-13,479.4,491.34,479.4,483.93,774442
2020-03-16,482.82,495.21,482.82,493.42,534163
2020-03-17,496.3,496.91,492.1,494.11,2323366
2020-03-18,494.4,494.4,484.03,487.35,1731730
2020-03-19,489.76,497.17,484.3,489.26,3493379
2020-03-20,487.54,496.95,486.01,491.89,3362161
2020-03-23,490.07,500.77,490.07,496.85,684430
2020-03-24,500.32,500.32,485.98,491.99,1982515
2020-03-25,491.41,494.92,484.16,488.82,2079154
2020-03-26,490.96,516.41,490.96,512.25,2000017
2020-03-27,515.15,515.26,509.55,511.35,4270854
2020-03-30,511.59,511.59,488.76,497.38,829040
2020-03-31,494.87,499.33,494.87,497.29,2386560
2020-04-01,497.71,498.24,491.15,495.11,1416557
2020-04-02,494.45,502.65,494.45,500.32,3869285
2020-04-03,497.72,497.72,473.14,476.96,1602338
2020-04-06,473.95,487.88,473.68,480.51,4288732
2020-04-07,481.24,486.67,472.6,480.35,2287994
2020-04-08,482.65,482.65,459.94,468.04,4614673
2020-04-09,469.39,469.39,455.83,457.19,4806500
2020-04-10,460.42,463.62,453.72,459.51,1828171
2020-04-13,459.64,459.64,450.06,452.69,3247357
2020-04-14,451.16,451.99,440.08,448.22,4328971
2020-04-15,449.44,459.11,449.44,454.28,2166140
2020-04-16,451.17,451.17,443.82,446.9,1594959
2020-04-17,449.65,451.36,442.85,445.85,4697248
2020-04-20,444.39,445.24,435.32,439.3,1661678
2020-04-21,437.78,437.78,429.62,431.52,3759545
2020-04-22,431.43,433.3,426.72,430.1,803810
2020-04-23,427.89,427.89,417.2,422.6,3032345
2020-04-24,422.68,438.57,422.68,431.04,1871462
2020-04-27,431.42,431.42,424.73,428.27,4079871
2020-04-28,429.01,429.01,400.78,404.99,2979970
2020-04-29,402.98,407.23,396.51,402.05,3322461
2020-04-30,400.09,416.04,398.23,406.66,2479469
2020-05-01,407.24,407.24,396.04,399.15,2282595
2020-05-04,401.04,401.04,375.63,378.94,1036420
2020-05-05,379.58,379.58,373.42,375.52,3374478
2020-05-06,376.14,378.57,369.64,372.92,1563254
2020-05-07,371.64,381.24,370.2,375.53,1388343
2020-05-08,372.96,375.84,372.56,374.02,2486619
2020-05-11,373.77,381.5,370.18,376.06,1267309
2020-05-12,376.78,388.82,376.78,384.64,2725288
2020-05-13,382.71,382.71,370.02,371.38,1253836
2020-05-14,373.88,375.92,371.59,373.36,2417890
2020-05-15,374.79,379.55,367.61,374.59,1162817
2020-05-18,374.48,374.48,361.57,364.63,2340475
2020-05-19,366.27,370.11,360.69,365.79,4685032
2020-05-20,365.76,365.76,355.09,362.85,4585511
2020-05-21,363.51,366.46,357.31,361.63,3607503
2020-05-22,361.81,369.4,361.81,366.6,808135
2020-05-25,367.3,367.3,360.39,363.28,3286919
2020-05-26,361.88,372.63,361.88,369.76,2974874
2020-05-27,371.34,376.76,368.4,371.72,1379350
2020-05-28,368.86,372.6,367.33,369.5,1997718
2020-05-29,369.27,376.45,367.12,370.44,4489664
2020-06-01,370.81,370.81,365.79,367.25,1148106
2020-06-02,368.82,376.07,366.44,370.52,2309047
2020-06-03,368.7,371.3,366.26,368.19,3435431
2020-06-04,364.39,379.21,364.39,374.01,2657689
2020-06-05,374.15,382.96,372.0,376.97,3385619
2020-06-08,377.05,387.96,377.05,382.51,2264420
2020-06-09,381.07,385.42,381.07,382.87,583550
2020-06-10,383.06,383.06,376.55,378.56,2536538
2020-06-11,377.86,382.77,369.53,376.59,4176624
2020-06-12,376.64,379.37,371.27,375.82,4972223
2020-06-15,376.52,376.52,361.42,367.12,1286057
2020-06-16,365.58,375.71,361.91,367.68,2901840
2020-06-17,368.13,371.15,363.27,367.2,2259452
2020-06-18,365.91,373.06,363.31,367.99,2075015
2020-06-19,367.33,369.6,362.4,367.0,2499198
2020-06-22,367.07,377.37,367.07,374.54,1838769
2020-06-23,372.16,373.99,369.76,372.43,562047
2020-06-24,372.21,374.11,367.13,370.18,1557421
2020-06-25,368.75,374.75,365.15,370.12,2524820
2020-06-26,370.81,376.74,366.33,372.78,1620142
2020-06-29,370.99,377.92,368.33,372.71,3934877
2020-06-30,372.25,372.25,365.97,368.96,1091783
2020-07-01,369.84,386.91,369.84,380.77,546850
2020-07-02,378.13,379.0,371.17,376.94,1944725
2020-07-03,376.5,377.59,373.59,375.14,3146031
2020-07-06,372.79,390.8,372.79,385.91,3050050
2020-07-07,384.22,397.43,384.22,393.37,590234
2020-07-08,392.08,399.38,390.86,396.02,833095
2020-07-09,395.3,401.73,393.96,397.01,4061031
2020-07-10,396.57,396.57,383.01,389.2,4718289
2020-07-13,387.89,398.3,387.89,395.56,2508468
2020-07-14,396.87,409.6,396.87,403.73,2427793
2020-07-15,404.67,404.67,392.9,400.44,2374885
2020-07-16,399.84,400.0,393.58,396.82,4556897
2020-07-17,395.14,408.08,395.14,404.88,2269497
2020-07-20,404.75,420.8,404.75,415.12,4493076
2020-07-21,413.54,427.84,413.54,426.42,3668819
2020-07-22,425.97,432.6,425.97,428.7,1876778
2020-07-23,430.31,439.16,427.73,433.94,1989502
2020-07-24,433.91,450.36,433.91,445.71,1336986
2020-07-27,446.13,453.82,441.62,445.93,3339469
2020-07-28,445.56,445.56,436.63,440.5,1330627
2020-07-29,441.13,442.86,434.68,437.71,4779859
2020-07-30,442.06,444.17,437.47,441.51,2965422
2020-07-31,441.84,441.84,425.56,433.28,2605695
2020-08-03,434.81,434.81,419.21,423.83,1919716
2020-08-04,423.69,423.69,404.45,407.29,4130586
2020-08-05,408.85,418.95,401.82,411.25,4556740
2020-08-06,411.09,420.25,411.09,417.82,2962119
2020-08-07,417.74,417.74,400.1,406.75,2172956
2020-08-10,407.85,418.84,407.85,414.09,1093821
2020-08-11,413.01,434.51,413.01,428.35,1259466
2020-08-12,428.83,432.06,421.49,425.0,3869363
2020-08-13,427.48,432.12,421.96,426.53,973839
2020-08-14,424.75,430.73,418.8,427.66,890123
2020-08-17,427.04,427.18,414.88,419.93,3141548
2020-08-18,421.79,421.79,417.35,418.89,4802187
2020-08-19,417.44,417.44,401.3,405.23,3132449
2020-08-20,405.8,405.8,399.74,402.32,1784634
2020-08-21,401.58,407.08,399.2,402.46,1498030
2020-08-24,400.24,406.25,398.35,401.53,4479653
2020-08-25,400.71,410.49,400.71,405.83,1973100
2020-08-26,405.46,418.15,403.71,409.72,3813534
2020-08-27,411.42,413.39,402.23,408.33,3969792
2020-08-28,408.1,418.51,407.01,413.55,4236961
2020-08-31,414.46,414.46,398.26,402.32,3780648
2020-09-01,403.19,404.95,393.28,397.74,2264077
2020-09-02,400.28,400.72,389.49,393.2,3447799
2020-09-03,393.11,405.17,393.11,399.33,4397253
2020-09-04,397.7,407.37,396.89,400.92,660688
2020-09-07,403.1,408.03,395.74,401.78,4221533
2020-09-08,399.86,409.11,399.86,404.53,4432362
2020-09-09,403.1,403.1,400.03,401.82,2971109
